committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,election_type,fec_election_type_desc,fec_election_year,back_reference_transaction_id,back_reference_schedule_id,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,sub_id,pdf_url
C00831289,NICK MELVOIN FOR CONGRESS,2024,30G,202506309762547411,17,XB130EB994,1897471,ORG,ORGANIZATION,,,MAILCHIMP,GA,OFFICE SUPPLIES,X,,2024-11-20 0:00:00,20,P2026,PRIMARY,2026,EB994,SB17,4063020251207304004,ATLANTA,30318,ADMINISTRATIVE,,4063020251207323235,https://docquery.fec.gov/cgi-bin/fecimg/?202506309762547411
C00831289,NICK MELVOIN FOR CONGRESS,2024,30G,202506309762547408,17,EB985,1897471,ORG,ORGANIZATION,,,CARD SERVICES CENTER,GA,CREDIT CARD PAYMENT,,,2024-10-20 0:00:00,196.57,P2026,PRIMARY,2026,,,4063020251207304004,KENNESAW,30144,OTHER,,4063020251207323227,https://docquery.fec.gov/cgi-bin/fecimg/?202506309762547408
C00831289,NICK MELVOIN FOR CONGRESS,2024,30G,202506309762547408,17,XB127EB989,1897471,ORG,ORGANIZATION,,,MAILCHIMP,GA,OFFICE SUPPLIES,X,,2024-10-20 0:00:00,20,P2026,PRIMARY,2026,EB989,SB17,4063020251207304004,ATLANTA,30318,ADMINISTRATIVE,,4063020251207323226,https://docquery.fec.gov/cgi-bin/fecimg/?202506309762547408
C00831289,NICK MELVOIN FOR CONGRESS,2024,30G,202506309762547407,17,EB989,1897471,ORG,ORGANIZATION,,,CARD SERVICES CENTER,GA,CREDIT CARD PAYMENT,,,2024-10-20 0:00:00,428.4,P2026,PRIMARY,2026,,,4063020251207304004,KENNESAW,30144,OTHER,,4063020251207323223,https://docquery.fec.gov/cgi-bin/fecimg/?202506309762547407
C00831289,NICK MELVOIN FOR CONGRESS,2024,30G,202506309762547410,17,EB994,1897471,ORG,ORGANIZATION,,,CARD SERVICES CENTER,GA,CREDIT CARD PAYMENT,,,2024-11-20 0:00:00,178.4,P2026,PRIMARY,2026,,,4063020251207304004,KENNESAW,30144,OTHER,,4063020251207323233,https://docquery.fec.gov/cgi-bin/fecimg/?202506309762547410
C00850743,ROYCE WHITE FOR SENATE,2024,12G,202505279761725092,17,BE4ED8B6090E54C6D821,1894007,ORG,ORGANIZATION,,,ANEDOT,GA,CREDIT CARD FEES,,,2024-10-15 0:00:00,143.29,G2024,GENERAL,2024,,,4052720251204117006,ATLANTA,303093449,OTHER,,4052720251204227230,https://docquery.fec.gov/cgi-bin/fecimg/?202505279761725092
C00718866,JON OSSOFF FOR SENATE,2024,YE,202505239761708544,17,500043811,1893899,ORG,ORGANIZATION,,,"WT 318 SYCAMORE, LLC.",GA,OFFICE SPACE,,,2024-12-02 0:00:00,5045,P2026,PRIMARY,2026,,,4052320251203743011,DECATUR,300303435,OTHER,,4052820251204299914,https://docquery.fec.gov/cgi-bin/fecimg/?202505239761708544
C00764027,STEPHEN HOULAHAN FOR CONGRESS,2024,30G,202412069739739728,17,SB17.7846,1859387,ORG,ORGANIZATION,,,MAILCHIMP,GA,E-MAIL SERVICE,,,2024-10-23 0:00:00,13,G2024,GENERAL,2024,,,4120720241075143002,ATLANTA,30308,OTHER,,4010620251127049322,https://docquery.fec.gov/cgi-bin/fecimg/?202412069739739728
C00368522,JOE WILSON FOR CONGRESS,2024,YE,202502249753772617,17,SB17.I30657,1878509,ORG,ORGANIZATION,,,BEASLEY MEDIA GROUP INC.,GA,ADVERTISING,,,2024-12-02 0:00:00,2949.5,,,,,,4022420251177823005,AUGUSTA,30309,OTHER,,4022420251178408756,https://docquery.fec.gov/cgi-bin/fecimg/?202502249753772617
C00841643,ALTMAN FOR CONGRESS,2024,30G,202412059720736145,17,500727734,1855454,ORG,ORGANIZATION,,,MAILCHIMP,GA,EMAILING SOFTWARE,,,2024-10-21 0:00:00,45,G2024,GENERAL,2024,,,4120520241074539244,ATLANTA,303082172,OTHER,,4011220251128105084,https://docquery.fec.gov/cgi-bin/fecimg/?202412059720736145
