county,Candidate,Votes,Winner
Appling,Trump,6570,Trump
Appling,Biden,1784,Trump
Atkinson,Trump,2300,Trump
Atkinson,Biden,825,Trump
Bacon,Trump,4017,Trump
Bacon,Biden,625,Trump
Baker,Trump,897,Trump
Baker,Biden,652,Trump
Baldwin,Trump,8903,Biden
Baldwin,Biden,9140,Biden
Banks,Trump,7795,Trump
Banks,Biden,932,Trump
Barrow,Trump,26804,Trump
Barrow,Biden,10453,Trump
Bartow,Trump,37672,Trump
Bartow,Biden,12091,Trump
Ben Hill,Trump,4111,Trump
Ben Hill,Biden,2393,Trump
Berrien,Trump,6419,Trump
Berrien,Biden,1269,Trump
Bibb,Trump,26559,Biden
Bibb,Biden,43408,Biden
Bleckley,Trump,4329,Trump
Bleckley,Biden,1312,Trump
Brantley,Trump,6993,Trump
Brantley,Biden,700,Trump
Brooks,Trump,4261,Trump
Brooks,Biden,2791,Trump
Bryan,Trump,14240,Trump
Bryan,Biden,6738,Trump
Bulloch,Trump,18387,Trump
Bulloch,Biden,11248,Trump
Burke,Trump,5400,Trump
Burke,Biden,5208,Trump
Butts,Trump,8406,Trump
Butts,Biden,3274,Trump
Calhoun,Trump,923,Biden
Calhoun,Biden,1263,Biden
Camden,Trump,15249,Trump
Camden,Biden,7967,Trump
Candler,Trump,3133,Trump
Candler,Biden,1269,Trump
Carroll,Trump,37476,Trump
Carroll,Biden,16236,Trump
Catoosa,Trump,25167,Trump
Catoosa,Biden,6932,Trump
Charlton,Trump,3419,Trump
Charlton,Biden,1105,Trump
Chatham,Trump,53232,Biden
Chatham,Biden,78247,Biden
Chattahoochee,Trump,880,Trump
Chattahoochee,Biden,667,Trump
Chattooga,Trump,8064,Trump
Chattooga,Biden,1854,Trump
Cherokee,Trump,99585,Trump
Cherokee,Biden,42779,Trump
Clarke,Trump,14450,Biden
Clarke,Biden,36055,Biden
Clay,Trump,637,Trump
Clay,Biden,791,Trump
Clayton,Trump,15811,Biden
Clayton,Biden,95466,Biden
Clinch,Trump,2105,Trump
Clinch,Biden,744,Trump
Cobb,Trump,165436,Biden
Cobb,Biden,221847,Biden
Coffee,Trump,10578,Trump
Coffee,Biden,4511,Trump
Colquitt,Trump,11777,Trump
Colquitt,Biden,4190,Trump
Columbia,Trump,50013,Trump
Columbia,Biden,29232,Trump
Cook,Trump,4900,Trump
Cook,Biden,2059,Trump
Coweta,Trump,51501,Trump
Coweta,Biden,24210,Trump
Crawford,Trump,4428,Trump
Crawford,Biden,1615,Trump
Crisp,Trump,4985,Trump
Crisp,Biden,2982,Trump
Dade,Trump,6066,Trump
Dade,Biden,1261,Trump
Dawson,Trump,13398,Trump
Dawson,Biden,2486,Trump
Decatur,Trump,6755,Trump
Decatur,Biden,4782,Trump
DeKalb,Trump,58377,Biden
DeKalb,Biden,308162,Biden
Dodge,Trump,5843,Trump
Dodge,Biden,2172,Trump
Dooly,Trump,2159,Trump
Dooly,Biden,1911,Trump
Dougherty,Trump,10441,Biden
Dougherty,Biden,24568,Biden
Douglas,Trump,25454,Biden
Douglas,Biden,42814,Biden
Early,Trump,2710,Trump
Early,Biden,2450,Trump
Echols,Trump,1256,Trump
Echols,Biden,167,Trump
Effingham,Trump,23361,Trump
Effingham,Biden,7718,Trump
Elbert,Trump,6226,Trump
Elbert,Biden,2879,Trump
Emanuel,Trump,6553,Trump
Emanuel,Biden,2886,Trump
Evans,Trump,2888,Trump
